applicant_country,visa_type,age,education_level,employment_status,sponsor_company,visa_status,processing_time
5,1,34.0,1,0,2,1,66.0
0,3,34.0,1,0,2,1,66.0
1,3,40.0,0,2,0,1,66.0
4,3,41.0,2,1,2,0,92.0
1,4,34.0,1,2,1,1,66.0
5,4,34.0,0,2,0,0,46.0
4,4,44.0,2,2,2,0,28.0
0,4,34.0,3,2,0,2,70.0
4,4,34.0,1,1,4,2,27.0
5,0,45.0,0,0,0,2,61.0
4,2,34.0,3,2,2,2,111.0
3,4,34.0,3,0,4,2,17.0
3,0,34.0,3,2,5,1,66.0
1,1,34.0,2,0,1,2,60.0
4,0,34.0,2,1,2,2,40.0
2,3,34.0,3,2,2,0,90.0
1,4,34.0,3,0,5,0,95.0
1,2,34.0,3,1,3,1,66.0
1,0,45.0,2,0,3,2,105.0
2,1,24.0,0,1,4,1,66.0
5,4,24.0,3,2,3,1,66.0
0,4,34.0,1,1,1,0,66.0
4,0,33.0,2,1,0,2,48.0
0,2,21.0,3,2,1,0,68.0
1,0,34.0,1,0,2,2,22.0
0,3,34.0,1,1,4,2,15.0
1,1,34.0,2,2,4,1,66.0
5,1,34.0,2,2,5,1,66.0
0,2,34.0,1,0,0,0,60.0
2,1,34.0,3,1,2,1,66.0
3,2,34.0,3,1,1,2,59.0
3,4,34.0,2,0,2,1,66.0
2,2,35.0,1,1,2,2,59.0
3,4,34.0,2,1,3,0,21.0
1,1,34.0,2,2,1,0,90.0
2,4,34.0,1,1,2,1,66.0
4,4,34.0,1,2,2,0,91.0
2,1,21.0,1,0,5,0,59.0
5,2,34.0,2,2,2,1,66.0
1,3,34.0,2,0,1,0,99.0
2,1,34.0,2,2,3,1,66.0
2,4,34.0,1,1,2,2,111.0
1,1,34.0,3,1,0,2,16.0
0,4,34.0,2,2,2,2,68.0
2,0,39.0,0,0,0,0,27.0
4,2,22.0,3,0,5,1,66.0
0,0,30.0,0,2,4,2,29.0
3,2,34.0,1,2,2,0,89.0
1,3,29.0,3,1,4,2,27.0
2,4,44.0,1,1,4,0,117.0
1,3,32.0,0,0,4,1,66.0
0,2,34.0,3,2,0,2,113.0
2,3,34.0,3,0,0,2,54.0
4,4,36.0,2,1,3,0,37.0
2,1,34.0,1,1,2,0,42.0
3,0,45.0,3,2,4,1,66.0
4,1,25.0,0,0,2,1,66.0
5,2,43.0,1,0,2,1,66.0
1,3,34.0,0,0,0,0,109.0
2,3,45.0,1,2,4,2,67.0
0,2,40.0,2,1,3,2,35.0
3,3,34.0,0,2,3,0,27.0
0,3,36.0,0,2,1,0,51.0
5,4,33.0,1,2,2,0,60.0
0,1,34.0,2,2,5,2,68.0
3,0,34.0,1,1,2,0,18.0
3,0,41.0,0,2,2,0,23.0
2,2,34.0,2,1,1,2,35.0
0,1,23.0,2,1,2,2,57.0
1,2,34.0,3,1,2,2,45.0
4,1,27.0,0,0,4,0,101.0
4,4,34.0,3,1,4,1,66.0
5,3,34.0,3,0,2,1,66.0
4,0,26.0,2,1,0,2,54.0
0,2,25.0,2,0,5,0,15.0
0,0,31.0,1,2,5,1,66.0
4,4,43.0,2,1,3,1,66.0
5,1,34.0,3,1,1,0,19.0
1,2,35.0,0,1,4,0,67.0
1,4,34.0,1,2,2,2,15.0
2,1,34.0,3,0,3,2,112.0
2,2,23.0,1,2,2,0,87.0
2,0,34.0,1,1,4,0,23.0
5,2,34.0,0,2,5,2,31.0
4,0,32.0,1,0,4,2,26.0
4,0,34.0,2,1,5,0,52.0
5,2,23.0,3,0,3,0,105.0
3,1,34.0,3,1,3,2,90.0
5,2,34.0,3,1,2,1,66.0
0,3,31.0,0,1,2,2,29.0
5,2,34.0,0,1,0,1,66.0
2,0,34.0,3,0,2,0,51.0
1,0,31.0,3,2,2,1,66.0
1,4,34.0,0,1,5,1,66.0
3,0,34.0,3,0,1,0,81.0
2,3,34.0,3,1,2,0,108.0
2,0,34.0,0,1,5,1,66.0
4,4,29.0,0,1,5,0,102.0
0,3,41.0,1,0,1,1,66.0
1,2,21.0,2,0,2,0,82.0
3,0,34.0,1,1,3,2,65.0
5,1,34.0,0,2,0,0,105.0
1,2,41.0,1,1,3,2,28.0
2,4,30.0,1,2,4,0,62.0
5,2,34.0,3,0,4,1,66.0
3,4,38.0,3,1,4,1,66.0
5,0,39.0,3,0,5,0,35.0
5,0,34.0,2,0,0,0,76.0
3,2,40.0,2,2,2,2,56.0
2,3,40.0,0,1,2,2,109.0
0,1,31.0,2,0,1,0,15.0
3,4,41.0,0,0,5,0,94.0
1,0,42.0,1,0,2,0,33.0
4,1,34.0,1,0,2,0,62.0
5,4,34.0,3,1,3,2,19.0
5,4,34.0,3,1,2,1,66.0
2,3,44.0,0,2,2,1,66.0
0,0,40.0,0,1,5,2,116.0
0,3,26.0,2,2,3,0,84.0
4,1,40.0,3,2,3,1,66.0
0,0,34.0,1,0,2,2,48.0
5,0,29.0,0,1,1,0,117.0
2,3,27.0,0,2,5,0,109.0
3,4,23.0,2,1,5,0,15.0
