application_id,applicant_country,visa_type,application_date,decision_date,age,education_level,employment_status,sponsor_company,visa_status,application_month,application_year,quarter,season,processing_time,country_avg_time,monthly_application_count,country_month_count
V0001,USA,F1,2023-03-22,,,Diploma,Employed,Infosys,Pending,3,2023,1,Summer,,75.57142857142857,18,5
V0002,Australia,L1,2023-03-06,,,Diploma,Employed,Infosys,Pending,3,2023,1,Summer,,64.89655172413794,18,4
V0003,Canada,L1,2023-08-29,,40.0,Bachelors,Unemployed,Accenture,Pending,8,2023,3,Monsoon,,65.66666666666667,10,4
V0004,UK,L1,2023-05-30,2023-08-30,41.0,Masters,Student,,Approved,5,2023,2,Summer,92.0,63.95652173913044,19,3
V0005,Canada,PR,2023-07-26,,,Diploma,Unemployed,Google,Pending,7,2023,3,Monsoon,,65.66666666666667,18,5
V0006,USA,PR,2023-02-08,2023-03-26,,Bachelors,Unemployed,Accenture,Approved,2,2023,1,Winter,46.0,75.57142857142857,22,2
V0007,UK,PR,2023-08-22,2023-09-19,44.0,Masters,Unemployed,Infosys,Approved,8,2023,3,Monsoon,28.0,63.95652173913044,10,3
V0008,Australia,PR,2023-02-22,2023-05-03,,PhD,Unemployed,Accenture,Rejected,2,2023,1,Winter,70.0,64.89655172413794,22,4
V0009,UK,PR,2023-05-31,2023-06-27,,Diploma,Student,TCS,Rejected,5,2023,2,Summer,27.0,63.95652173913044,19,3
V0010,USA,B2,2023-06-21,2023-08-21,45.0,Bachelors,Employed,Accenture,Rejected,6,2023,2,Monsoon,61.0,75.57142857142857,19,4
V0011,UK,H1B,2023-03-28,2023-07-17,,PhD,Unemployed,,Rejected,3,2023,1,Summer,111.0,63.95652173913044,18,3
V0012,India,PR,2023-02-01,2023-02-18,,PhD,Employed,TCS,Rejected,2,2023,1,Winter,17.0,52.421052631578945,22,3
V0013,India,B2,2023-02-19,,,PhD,Unemployed,Wipro,Pending,2,2023,1,Winter,,52.421052631578945,22,3
V0014,Canada,F1,2023-01-29,2023-03-30,,Masters,Employed,Google,Rejected,1,2023,1,Winter,60.0,65.66666666666667,22,4
V0015,UK,B2,2023-12-15,2024-01-24,,Masters,Student,Infosys,Rejected,12,2023,4,Winter,40.0,63.95652173913044,12,2
V0016,Germany,L1,2023-10-12,2024-01-10,,,Unemployed,Infosys,Approved,10,2023,4,Autumn,90.0,68.24,13,2
V0017,Canada,PR,2023-10-30,2024-02-02,,PhD,Employed,Wipro,Approved,10,2023,4,Autumn,95.0,65.66666666666667,13,6
V0018,Canada,H1B,2023-06-19,,,PhD,Student,Microsoft,Pending,6,2023,2,Monsoon,,65.66666666666667,19,3
V0019,Canada,B2,2023-02-28,2023-06-13,45.0,Masters,Employed,Microsoft,Rejected,2,2023,1,Winter,105.0,65.66666666666667,22,5
V0020,Germany,F1,2023-11-01,,24.0,Bachelors,Student,TCS,Pending,11,2023,4,Autumn,,68.24,12,3
V0021,USA,PR,2023-09-09,,24.0,PhD,Unemployed,Microsoft,Pending,9,2023,3,Autumn,,75.57142857142857,24,4
V0022,Australia,PR,2023-12-29,2024-03-04,,Diploma,Student,Google,Approved,12,2023,4,Winter,66.0,64.89655172413794,12,3
V0023,UK,B2,2023-02-21,2023-04-10,33.0,Masters,Student,Accenture,Rejected,2,2023,1,Winter,48.0,63.95652173913044,22,3
V0024,Australia,H1B,2023-07-04,2023-09-10,21.0,PhD,Unemployed,Google,Approved,7,2023,3,Monsoon,68.0,64.89655172413794,18,5
V0025,Canada,B2,2023-12-06,2023-12-28,,Diploma,Employed,Infosys,Rejected,12,2023,4,Winter,22.0,65.66666666666667,12,1
V0026,Australia,L1,2023-08-28,2023-09-12,,Diploma,Student,TCS,Rejected,8,2023,3,Monsoon,15.0,64.89655172413794,10,1
V0027,Canada,F1,2023-06-15,,,Masters,Unemployed,TCS,Pending,6,2023,2,Monsoon,,65.66666666666667,19,3
