application_id,applicant_country,visa_type,application_date,decision_date,age,education_level,employment_status,sponsor_company,visa_status
V0001,USA,F1,2023-03-22,,,Diploma,Employed,Infosys,Pending
V0002,Australia,L1,2023-03-06,,,Diploma,Employed,Infosys,Pending
V0003,Canada,L1,2023-08-29,,40.0,Bachelors,Unemployed,Accenture,Pending
V0004,UK,L1,2023-05-30,2023-08-30,41.0,Masters,Student,,Approved
V0005,Canada,PR,2023-07-26,,,Diploma,Unemployed,Google,Pending
V0006,USA,PR,2023-02-08,2023-03-26,,Bachelors,Unemployed,Accenture,Approved
V0007,UK,PR,2023-08-22,2023-09-19,44.0,Masters,Unemployed,Infosys,Approved
V0008,Australia,PR,2023-02-22,2023-05-03,,PhD,Unemployed,Accenture,Rejected
V0009,UK,PR,2023-05-31,2023-06-27,,Diploma,Student,TCS,Rejected
V0010,USA,B2,2023-06-21,2023-08-21,45.0,Bachelors,Employed,Accenture,Rejected
V0011,UK,H1B,2023-03-28,2023-07-17,,PhD,Unemployed,,Rejected
V0012,India,PR,2023-02-01,2023-02-18,,PhD,Employed,TCS,Rejected
V0013,India,B2,2023-02-19,,,PhD,Unemployed,Wipro,Pending
V0014,Canada,F1,2023-01-29,2023-03-30,,Masters,Employed,Google,Rejected
V0015,UK,B2,2023-12-15,2024-01-24,,Masters,Student,Infosys,Rejected
V0016,Germany,L1,2023-10-12,2024-01-10,,,Unemployed,Infosys,Approved
V0017,Canada,PR,2023-10-30,2024-02-02,,PhD,Employed,Wipro,Approved
V0018,Canada,H1B,2023-06-19,,,PhD,Student,Microsoft,Pending
V0019,Canada,B2,2023-02-28,2023-06-13,45.0,Masters,Employed,Microsoft,Rejected
V0020,Germany,F1,2023-11-01,,24.0,Bachelors,Student,TCS,Pending
V0021,USA,PR,2023-09-09,,24.0,PhD,Unemployed,Microsoft,Pending
V0022,Australia,PR,2023-12-29,2024-03-04,,Diploma,Student,Google,Approved
V0023,UK,B2,2023-02-21,2023-04-10,33.0,Masters,Student,Accenture,Rejected
V0024,Australia,H1B,2023-07-04,2023-09-10,21.0,PhD,Unemployed,Google,Approved
V0025,Canada,B2,2023-12-06,2023-12-28,,Diploma,Employed,Infosys,Rejected
V0026,Australia,L1,2023-08-28,2023-09-12,,Diploma,Student,TCS,Rejected
V0027,Canada,F1,2023-06-15,,,Masters,Unemployed,TCS,Pending
V0028,USA,F1,2023-06-22,,,Masters,Unemployed,Wipro,Pending
V0029,Australia,H1B,2023-10-06,2023-12-05,,Diploma,Employed,Accenture,Approved
V0030,Germany,F1,2023-06-04,,,PhD,Student,,Pending
V0031,India,H1B,2023-02-13,2023-04-13,,,Student,Google,Rejected
V0032,India,PR,2023-09-29,,,Masters,Employed,Infosys,Pending
V0033,Germany,H1B,2023-06-28,2023-08-26,35.0,Diploma,Student,,Rejected
V0034,India,PR,2023-09-03,2023-09-24,,Masters,,Microsoft,Approved
V0035,Canada,F1,2023-07-04,2023-10-02,,Masters,Unemployed,Google,Approved
V0036,Germany,PR,2023-09-05,,,Diploma,Student,Infosys,Pending
V0037,UK,PR,2023-11-27,2024-02-26,,Diploma,Unemployed,,Approved
V0038,Germany,F1,2023-01-25,2023-03-25,21.0,Diploma,Employed,Wipro,Approved
V0039,USA,H1B,2023-01-25,,,Masters,Unemployed,Infosys,Pending
V0040,Canada,L1,2023-05-09,2023-08-16,,Masters,Employed,Google,Approved
V0041,Germany,F1,2023-02-04,,,Masters,Unemployed,Microsoft,Pending
V0042,Germany,PR,2023-07-02,2023-10-21,,Diploma,Student,Infosys,Rejected
V0043,Canada,F1,2023-09-26,2023-10-12,,PhD,Student,Accenture,Rejected
V0044,Australia,PR,2023-12-14,2024-02-20,,Masters,Unemployed,Infosys,Rejected
V0045,Germany,B2,2023-09-06,2023-10-03,39.0,Bachelors,Employed,Accenture,Approved
V0046,UK,H1B,2023-03-31,,22.0,,Employed,Wipro,Pending
V0047,Australia,B2,2023-05-05,2023-06-03,30.0,Bachelors,Unemployed,TCS,Rejected
V0048,India,H1B,2023-01-03,2023-04-02,,Diploma,Unemployed,Infosys,Approved
V0049,Canada,L1,2023-10-19,2023-11-15,29.0,PhD,Student,TCS,Rejected
V0050,Germany,PR,2023-01-02,2023-04-29,44.0,Diploma,Student,TCS,Approved
V0051,Canada,L1,2023-05-07,,32.0,Bachelors,Employed,TCS,Pending
V0052,Australia,H1B,2023-09-10,2024-01-01,,PhD,Unemployed,Accenture,Rejected
V0053,Germany,L1,2023-08-27,2023-10-20,,PhD,Employed,Accenture,Rejected
V0054,UK,PR,2023-02-12,2023-03-21,36.0,Masters,Student,Microsoft,Approved
V0055,Germany,F1,2023-04-03,2023-05-15,,Diploma,Student,,Approved
V0056,India,B2,2023-06-11,,45.0,PhD,Unemployed,TCS,Pending
V0057,UK,F1,2023-09-07,,25.0,Bachelors,Employed,,Pending
V0058,USA,H1B,2023-06-05,,43.0,Diploma,Employed,Infosys,Pending
V0059,Canada,L1,2023-09-25,2024-01-12,,Bachelors,Employed,Accenture,Approved
V0060,Germany,L1,2023-04-24,2023-06-30,45.0,Diploma,Unemployed,TCS,Rejected
V0061,Australia,H1B,2023-12-29,2024-02-02,40.0,Masters,Student,Microsoft,Rejected
V0062,India,L1,2023-01-17,2023-02-13,,Bachelors,Unemployed,Microsoft,Approved
V0063,Australia,L1,2023-05-20,2023-07-10,36.0,Bachelors,Unemployed,Google,Approved
V0064,USA,PR,2023-11-24,2024-01-23,33.0,Diploma,Unemployed,Infosys,Approved
V0065,Australia,F1,2023-01-18,2023-03-27,,Masters,Unemployed,Wipro,Rejected
V0066,India,B2,2023-10-25,2023-11-12,,Diploma,,Infosys,Approved
V0067,India,B2,2023-11-03,2023-11-26,41.0,Bachelors,Unemployed,Infosys,Approved
V0068,Germany,H1B,2023-02-08,2023-03-15,,Masters,Student,Google,Rejected
V0069,Australia,F1,2023-01-07,2023-03-05,23.0,Masters,Student,Infosys,Rejected
V0070,Canada,H1B,2023-06-08,2023-07-23,,,Student,Infosys,Rejected
V0071,UK,F1,2023-09-21,2023-12-31,27.0,Bachelors,Employed,TCS,Approved
V0072,UK,PR,2023-08-22,,,PhD,Student,TCS,Pending
V0073,USA,L1,2023-03-28,,,PhD,Employed,,Pending
V0074,UK,B2,2023-09-03,2023-10-27,26.0,Masters,Student,Accenture,Rejected
V0075,Australia,H1B,2023-05-01,2023-05-16,25.0,Masters,Employed,Wipro,Approved
V0076,Australia,B2,2023-01-29,,31.0,Diploma,Unemployed,Wipro,Pending
V0077,UK,PR,2023-07-06,,43.0,Masters,,Microsoft,Pending
V0078,USA,F1,2023-05-26,2023-06-14,,PhD,Student,Google,Approved
V0079,Canada,H1B,2023-10-26,2024-01-01,35.0,Bachelors,Student,TCS,Approved
V0080,Canada,PR,2023-07-02,2023-07-17,,Diploma,Unemployed,Infosys,Rejected
V0081,Germany,F1,2023-05-13,2023-09-02,,PhD,Employed,Microsoft,Rejected
V0082,Germany,H1B,2023-11-08,2024-02-03,23.0,Diploma,Unemployed,,Approved
V0083,Germany,B2,2023-11-16,2023-12-09,,Diploma,Student,TCS,Approved
V0084,USA,H1B,2023-05-31,2023-07-01,,Bachelors,Unemployed,Wipro,Rejected
V0085,UK,B2,2023-06-20,2023-07-16,32.0,Diploma,Employed,TCS,Rejected
V0086,UK,B2,2023-01-14,2023-03-07,,Masters,Student,Wipro,Approved
V0087,USA,H1B,2023-05-29,2023-09-11,23.0,PhD,Employed,Microsoft,Approved
V0088,India,F1,2023-07-26,2023-10-24,,PhD,Student,Microsoft,Rejected
V0089,USA,H1B,2023-04-21,,,PhD,,Infosys,Pending
V0090,Australia,L1,2023-03-11,2023-04-09,31.0,Bachelors,Student,Infosys,Rejected
V0091,USA,H1B,2023-03-02,,,Bachelors,Student,Accenture,Pending
V0092,Germany,B2,2023-05-09,2023-06-29,,PhD,Employed,,Approved
V0093,Canada,B2,2023-09-25,,31.0,PhD,Unemployed,,Pending
V0094,Canada,PR,2023-10-27,,,Bachelors,Student,Wipro,Pending
V0095,India,B2,2023-07-06,2023-09-25,,PhD,Employed,Google,Approved
V0096,Germany,L1,2023-05-29,2023-09-14,,,Student,Infosys,Approved
V0097,Germany,B2,2023-01-19,,,Bachelors,Student,Wipro,Pending
V0098,UK,PR,2023-11-15,2024-02-25,29.0,Bachelors,Student,Wipro,Approved
V0099,Australia,L1,2023-06-09,,41.0,Diploma,Employed,Google,Pending
V0100,Canada,H1B,2023-10-02,2023-12-23,21.0,Masters,Employed,,Approved
V0101,India,B2,2023-03-25,2023-05-29,,Diploma,Student,Microsoft,Rejected
V0102,USA,F1,2023-01-13,2023-04-28,34.0,Bachelors,Unemployed,Accenture,Approved
V0103,Canada,H1B,2023-02-22,2023-03-22,41.0,Diploma,,Microsoft,Rejected
V0104,Germany,PR,2023-10-02,2023-12-03,30.0,Diploma,Unemployed,TCS,Approved
V0105,USA,H1B,2023-02-13,,,PhD,Employed,TCS,Pending
V0106,India,PR,2023-05-03,,38.0,PhD,Student,TCS,Pending
V0107,USA,B2,2023-03-23,2023-04-27,39.0,PhD,Employed,Wipro,Approved
V0108,USA,B2,2023-12-17,2024-03-02,,Masters,Employed,Accenture,Approved
V0109,India,H1B,2023-05-14,2023-07-09,40.0,Masters,Unemployed,,Rejected
V0110,Germany,L1,2023-03-23,2023-07-10,40.0,Bachelors,Student,Infosys,Rejected
V0111,Australia,F1,2023-09-30,2023-10-15,31.0,Masters,Employed,Google,Approved
V0112,India,PR,2023-03-17,2023-06-19,41.0,Bachelors,Employed,Wipro,Approved
V0113,Canada,B2,2023-01-20,2023-02-22,42.0,Diploma,Employed,Infosys,Approved
V0114,UK,F1,2023-07-13,2023-09-13,,Diploma,Employed,Infosys,Approved
V0115,USA,PR,2023-04-12,2023-05-01,,PhD,Student,Microsoft,Rejected
V0116,USA,PR,2023-01-01,,,,Student,,Pending
V0117,Germany,L1,2023-01-14,,44.0,Bachelors,Unemployed,,Pending
V0118,Australia,B2,2023-07-03,2023-10-27,40.0,Bachelors,Student,Wipro,Rejected
